༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ འཚལ་ ལོ 83
པས་ དགའ་ བར་ བྱའོ །_། བདག་ གིས་ ཀྱང་ 97
པས་ དགའ་ བར་ སྤྱོད་ པ་ ཡིན །_ བདག་ 54
པས་ དེའི་ ཕྱིར་ ཐེག་ པ་ ཆེན་ པོ་ འདིས་ 51
པས་ ཉེ་ བར་ མྱི་ ལེན་ ཏོ །_། རབ་ 101
པས་ བསྒྱུར་ ཅིང་ ཞུས་ ཏེ་ གཏན་ ལ་ ཕབ་ 68
པས་ སྒོ་ ངའི་ སྦུབས་ བཅོམ་ པ །_ རིག་ 74
པས་ ལོག་ པར་ གཡེམ་ པ་ དང་ །_ ཆང་ 57
པས་ སྟོང་ སྟེ །_ དེ་ ཅིའི་ ཕྱིར་ ཞེ་ 63
པས་ འཛམ་ བུའི་ གླིང་ འདིར་ ཆར་ རབ་ ཏུ་ 78
པས་ ཕོལ་ མིག་ ལྔ་ པའི་ འཁོར་ བའི་ འཁོར་ 41
པས་ རློམ་ སེམས་ སུ་ མྱི་ བྱེད །_ སྤྲུལ་ 103
ཟིན་ པའི་ ཕུང་ པོ་ དང་ །_ ཁམས་ དང་ 86
ཟིན་ པ་ ལས་ ཡོངས་ སུ་ སྨིན་ པར་ བྱ 42
ཟིན་ པ་ ལས་ གཞན་ དུ་ མ་ ཡིན་ ནོ 54
ཟིན་ པར་ སྒོམ་ སྟེ །_ དེ་ ལ་ གཉིས་ 47
རྣམས་ དང་ །_། དེ་ དག་ ཀྱང་ ནི་ འདུས་ 41
རྣམས་ དང་ །_ སོ་ སོ་ ཡང་ དག་ པར་ 169
རྣམས་ དང་ །_ རྟེན་ ཅིང་ འབྲེལ་ པར་ འབྱུང་ 46
རྣམས་ དང་ །_ དབང་ པོ་ རྣམས་ དང་ །_ 168
རྣམས་ དང་ །_ འཕགས་ པའི་ ལམ་ ཡན་ ལག་ 147
རྣམས་ དང་ །_ སངས་ རྒྱས་ ཀྱི་ ཆོས་ མ་ 143
རྣམས་ དང་ །_ ཚོང་ དཔོན་ རྣམས་ དང་ །_ 101
རྣམས་ དང་ །_ རྣམ་ པར་ ཐར་ པ་ རྣམས་ 49
རྣམས་ དང་ །_ རྣམ་ པར་ ཐར་ པ་ བརྒྱད་ 98
རྣམས་ དང་ །_ རྣམ་ པར་ ཤེས་ པ་ ལ་ 98
རྣམས་ དང་ །_ རྣམ་ པར་ ཤེས་ པ་ ནི་ 77
རྣམས་ དང་ །_ རྣམ་ པར་ ཤེས་ པ་ ཡང་ 72
རྣམས་ དང་ །_ རང་ སངས་ རྒྱས་ རྣམས་ དང་ 65
རྣམས་ དང་ །_ ཡང་ དག་ པར་ སྤོང་ བ་ 66
རྣམས་ དང་ །_ མི་ འཇིགས་ པ་ རྣམས་ དང་ 98
རྣམས་ དང་ །_ མི་ འམ་ ཅི་ རྣམས་ དང་ 90
རྣམས་ དང་ །_ དེ་ བཞིན་ གཤེགས་ པའི་ སྟོབས་ 142
རྣམས་ དང་ །_ ཕྱིར་ མི་ འོང་ བ་ རྣམས་ 43
རྣམས་ དང་ །_ དགྲ་ བཅོམ་ པ་ རྣམས་ དང་ 55
རྣམས་ དང་ །_ སྐྱེ་ མཆེད་ རྣམས་ དང་ །_ 54
རྣམས་ དང་ །_ བྱང་ ཆུབ་ ཀྱི་ ཡན་ ལག་ 172
རྣམས་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ རྣམས་ 105
རྣམས་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ 46
རྣམས་ དང་ །_ ནམ་ མཁའ་ ལྡིང་ རྣམས་ དང་ 135
རྣམས་ དང་ །_ ལན་ ཅིག་ ཕྱིར་ འོང་ བ་ 51
རྣམས་ དང་ །_ བློན་ པོ་ ཆེན་ པོ་ རྣམས་ 102
རྣམས་ དང་ །_ མིའམ་ ཅི་ རྣམས་ དང་ །_ 46
རྣམས་ དང་ །_ ཚད་ མེད་ པ་ རྣམས་ དང་ 172
རྣམས་ དང་ །_ མཐར་ གྱིས་ གནས་ པའི་ སྙོམས་ 55
རྣམས་ དང་ །_ སྟོབས་ རྣམས་ དང་ །_ བྱང་ 165
རྣམས་ དང་ །_ དེད་ དཔོན་ རྣམས་ དང་ །_ 102
རྣམས་ དང་ །_ ཕོ་ བྲང་ འཁོར་ གྱི་ མི་ 100
རྣམས་ དང་ །_ གནོད་ སྦྱིན་ རྣམས་ དང་ །_ 138
རྣམས་ དང་ །_ ལྷ་ རྣམས་ དང་ །_ ཀླུ་ 105
རྣམས་ དང་ །_ ལྷ་ མ་ ཡིན་ རྣམས་ དང་ 121
རྣམས་ དང་ །_ ཕྱུག་ པོ་ རྣམས་ དང་ །_ 98
རྣམས་ དང་ །_ ཀླུ་ རྣམས་ དང་ །_ གནོད་ 109
རྣམས་ དང་ །_ སྟོང་ པ་ ཉིད་ ཐམས་ ཅད་ 96
རྣམས་ དང་ །_ གཟུགས་ མེད་ པའི་ སྙོམས་ པར་ 183
རྣམས་ དང་ །_ བསམ་ གཏན་ རྣམས་ དང་ །_ 165
རྣམས་ དང་ །_ ཏིང་ ངེ་ འཛིན་ རྣམས་ དང་ 171
རྣམས་ དང་ །_ ལྟོ་ འཕྱེ་ ཆེན་ པོ་ རྣམས་ 131
རྣམས་ དང་ །_ རྫུ་ འཕྲུལ་ གྱི་ རྐང་ པ་ 175
རྣམས་ དང་ །_ གཟུངས་ ཀྱི་ སྒོ་ རྣམས་ དང་ 136
རྣམས་ དང་ སྐལ་ བ་ མཉམ་ པར་ མིར་ སྐྱེས་ 130
རྣམས་ དང་ སྐལ་ བ་ མཉམ་ པར་ མིའི་ ནང་ 62
རྣམས་ ལ་ ཕྱག་ འཚལ་ ཞིང་ །_། འདུས་ པའི་ 57
རྣམས་ ལ་ ཆོས་ ཀྱི་ མིག་ རྡུལ་ མེད་ ཅིང་ 143
རྣམས་ ལ་ ནི །_། འབྲས་ བུ་ དག་ ཏུ་ 50
རྣམས་ ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། 104
རྣམས་ ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ 61
རྣམས་ ལ་ ངེས་ པར་ འབྱུང་ བར་ འདོད་ པ་ 48
རྣམས་ ལ་ དེ་ བཞིན་ གཤེགས་ པའི་ སྙིང་ རྗེ་ 82
རྣམས་ ལ་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ ཏུ་ 76
རྣམས་ ལ་ སྨྲས་ པ །_ ཤེས་ ལྡན་ དག་ 98
རྣམས་ ལ་ སྨྲས་ པ །_ ཚེ་ དང་ ལྡན་ 47
རྣམས་ ལ་ བཀའ་ སྩལ་ པ །_ དགེ་ སློང་ 516
རྣམས་ ལ་ བསྒོ་ བ །_ ཤེས་ ལྡན་ དག་ 69
རྣམས་ ལ་ སྒྲིབ་ པར་ བྱེད་ པ་ སྟེ །_ 87
རྣམས་ ལ་ མྱེད་ ཅིང་ མྱི་ དམྱིགས་ སོ །_། 52
རྣམས་ འཇིག་ རྟེན་ དུ་ འབྱུང་ བར་ འགྱུར་ རོ 178
རྣམས་ བརྙེས་ པ །_ ཉན་ ཐོས་ ཀྱི་ དགེ་ 88
རྣམས་ སྡུག་ བསྔལ་ ལས་ ཡོངས་ སུ་ ཐར་ བར་ 48
རྣམས་ ཀྱི་ ཆོས་ ཉིད་ གང་ ཡིན་ པ་ དེ་ 51
རྣམས་ ཀྱི་ བསླབ་ པའི་ གཞི་ བཅའ་ བར་ བྱ་ 134
རྣམས་ ཀྱི་ གནས་ ལ་ རྟོག་ པར་ བྱེད་ དེ 49
རྣམས་ ཀྱི་ རྣམ་ པར་ སྨིན་ པ་ ནི་ གཅིག་ 53
རྣམས་ ཀྱི་ གནས །_། དུས་ རླབས་ ཡོལ་ བར་ 43
རྣམས་ ཀྱི་ སྟོན་ པ་ སངས་ རྒྱས་ བཅོམ་ ལྡན་ 140
རྣམས་ ཀྱི་ སྟོན་ པ །_ སངས་ རྒྱས་ བཅོམ་ 320
རྣམས་ ཀྱི་ ཡང་ དག་ པ་ དང་ །_ ཡོངས་ 40
རྣམས་ ཀྱི་ དེ་ བཞིན་ ཉིད་ གང་ ཡིན་ པ་ 131
རྣམས་ ཀྱི་ མ་ སྐྱེས་ པ་ གང་ ཡིན་ པ་ 40
རྣམས་ ཀྱི་ སྐྱེ་ བ་ ཡང་ དག་ པར་ རྗེས་ 40
རྣམས་ ཀྱི་ སྐྱེ་ བའི་ སྒོ་ ཡང་ དག་ པར་ 40
རྣམས་ ཀྱི་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ ཏུ་ 58
རྣམས་ ཀྱི་ ནང་ དུ་ སྐྱེ་ བར་ འགྱུར་ ཏེ 49
རྣམས་ ཀྱི་ ནང་ དུ་ སྐྱེ་ བར་ འགྱུར་ རོ 186
རྣམས་ ཀྱི་ དོན་ དང་ །_ ཕན་ པ་ དང་ 45
རྣམས་ ཀྱི་ དོན་ ཀུན་ ཤེས་ པར་ ནུས་ པ་ 58
རྣམས་ ཀྱི་ དོན་ བྱས་ ཤིང་ དོན་ མ་ ཡིན་ 44
རྣམས་ ཀྱི་ ལས་ ཀྱི་ རྣམ་ པར་ སྨིན་ པ་ 44
རྣམས་ ཀྱི་ བླ་ ན་ མེད་ པ་ ཡང་ དག་ 47
རྣམས་ ཀྱི་ ས་ དང་ པོ་ ཡོངས་ སུ་ སྦྱོང་ 138
རྣམས་ ཀྱི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ པ་ འདི་ 450
རྣམས་ ཀྱི་ ཐེག་ པ་ ཆེན་ པོ་ ལ་ དད་ 54
རྣམས་ ཀྱི་ ཐེག་ པ་ ཆེན་ པོའི་ ཕྱིར་ ཐེག་ 51
རྣམས་ ཀྱི་ འགྲིབ་ པ་ གང་ ལགས་ པ་ དེ་ 41
རྣམས་ ནི །_། བསྐལ་ པ་ བརྒྱར་ ཡང་ ཆུད་ 63
རྣམས་ ཡིན་ ནོ །_། བཅུ་ གང་ ཞེ་ ན 94
རྣམས་ ཡིན་ ནོ །_། རིགས་ ཀྱི་ བུ་ ཆོས་ 102
རྣམས་ ནི་ མཁྱེན་ བཞིན་ དུ་ རྨེད་ པར་ མཛད་ 150
རྣམས་ ནི་ ཟིན་ པའི་ ཕུང་ པོ་ དང་ །_ 40
རྣམས་ ནི་ རྣམ་ པར་ སྨིན་ པ་ ཡང་ འདྲེན་ 44
རྣམས་ ནི་ རྣམ་ པར་ སྨིན་ པ་ ཡང་ གཅིག་ 85
རྣམས་ ནི་ ཕྱི་ རོལ་ གྱི་ སའི་ ཁམས་ ལ་ 61
རྣམས་ ཀྱིས་ འདུལ་ བ་ ལ་ བསླབ་ པའི་ གཞི་ 290
རྣམས་ ཀྱིས་ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ ལ་ 59
རྣམས་ ཀྱིས་ འདི་ སྐད་ ཅེས་ གསོལ་ ཏོ །_། 41
རྣམས་ ཀྱིས་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། 45
རྣམས་ ཀྱིས་ ཀྱང་ མ་ བགྱིས །_ སྔོན་ གྱི་ 43
རྣམས་ ཀྱིས་ བཅོམ་ ལྡན་ འདས་ ལ་ གསོལ་ པ་ 591
རྣམས་ ཀྱིས་ བཅོམ་ ལྡན་ འདས་ ལ་ གསོལ་ ཏོ 167
རྣམས་ ཀྱིས་ གསོལ་ པ་ དང་ །_ བཅོམ་ ལྡན་ 65
རྣམས་ ཀྱིས་ སྨྲས་ པ །_ ཚེ་ དང་ ལྡན་ 63
རྣམས་ ཀྱིས་ བཀུར་ སྟི་ བྱས །_ བླ་ མར་ 105
རྣམས་ ཀྱིས་ མཆོད་ ཅིང་ ཤེས་ པའི་ སངས་ རྒྱས་ 100
རྣམས་ ཀྱིས་ མཆོད་ ཅིང་ རྗེད་ པ་ དང་ གུས་ 73
རྣམས་ ཞེས་ བྱ་ བར་ རྣམ་ པར་ རྟོག་ པར་ 87
རྣམས་ ཡང་ དག་ པ་ ཇི་ ལྟ་ བ་ བཞིན་ 47
རྣམས་ ཡང་ དག་ པར་ རྗེས་ སུ་ མི་ མཐོང་ 43
རྣམས་ ཡོངས་ སུ་ གཟུང་ བ་ དང་ །_ མྱེད་ 72
རྣམས་ ཡོངས་ སུ་ རྫོགས་ པར་ བྱེད་ དོ །_། 192
རྣམས་ ཡོངས་ སུ་ སྨིན་ པར་ བྱེད་ དོ །_། 41
རྣམས་ ཡོངས་ སུ་ སྨྱིན་ པར་ བགྱིད་ པ་ ལགས 49
རྣམས་ ཀྱང་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ ཏུ་ 50
རྣམས་ འབྱུང་ བར་ འདོད་ པ་ དེ་ ནི །_ 138
རྣམས་ བསྐལ་ པ་ བརྒྱར་ ཡང་ ནི །_། ཆུད་ 51
རྣམས་ མ་ ལགས་ སོ །_། བཅོམ་ ལྡན་ འདས་ 43
རྣམས་ མ་ ལགས་ ཏེ །_ དེ་ ལྟར་ ན་ 45
རྣམས་ མ་ བསྐྱེད་ པ་ ལས་ བསྐྱེད་ པར་ བྱ 41
རྣམས་ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ 51
རྣམས་ མངོན་ པར་ ཞེན་ པར་ གྱུར་ པ་ དེ་ 101
རྣམས་ ལས་ སེམས་ རྣམ་ པར་ གྲོལ་ ལོ །_། 99
རྣམས་ ལས་ གུད་ ན་ ཡང་ སྟོང་ པ་ ཉིད་ 52
རྣམས་ ལ །_། སངས་ རྒྱས་ དུས་ ལས་ ཡོལ་ 43
རྣམས་ ལ །_ དེ་ བཞིན་ གཤེགས་ པ་ ནོར་ 45
རྣམས་ བླ་ ན་ མེད་ པ་ ཡང་ དག་ པར་ 155
རྣམས་ བླ་ ན་ མྱེད་ པ་ ཡང་ དག་ པར་ 70
རྣམས་ ཉེ་ བར་ སྒྲུབ་ པ་ མ་ ཡིན །_ 56
རྣམས་ ཉེ་ བར་ སྒྲུབ་ སྟེ །_ ཡོ་ བྱད་ 41
རྣམས་ སམ །_ སོ་ སོ་ ཡང་ དག་ པར་ 40
རྣམས་ སམ །_ དེ་ བཞིན་ གཤེགས་ པའི་ སྟོབས་ 44
རྣམས་ སམ །_ ཏིང་ ངེ་ འཛིན་ རྣམས་ སམ 40
རྣམས་ འབའ་ ཞིག་ ལ་ རྣམ་ པར་ སྨིན་ པར་ 62
རྣམས་ འབའ་ ཞིག་ ལ་ གཏད་ པར་ བྱ་ སྟེ 42
རྣམས་ སྦྱོར་ བ་ ཡིན་ ནོ །_། རབ་ འབྱོར་ 42
རྣམས་ སྦྱོར་ བ་ ཡིན་ ཞེ་ ན །_ རབ་ 62
རྣམས་ ཐེ་ ཚོམ་ སྐྱེས་ ནས་ ཐེ་ ཚོམ་ ཐམས་ 105
རྣམས་ དང །_ རྣམ་ པར་ ཤེས་ པ་ ལ་ 83
རྣམས་ བསྐྱེད་ ཟིན་ པ་ ལས་ ཡོངས་ སུ་ སྨིན་ 41
རྣམས་ ལགས །_ ཇི་ ལྟར་ ན་ བྱང་ ཆུབ་ 64
སེལ་ བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ 56
སྨན་ པ་ དང་ །_ སྐྱེ་ བོ་ མང་ པོ་ 56
སྨན་ ཟོང་ རྣམས་ བརྙེས་ པ །_ ཉན་ ཐོས་ 88
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པའི་ ཡེ་ ཤེས་ 41
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ དང་ 1835
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ ལ་ 335
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ དུ་ 1491
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ ཀྱི་ 1758
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ གང་ 40
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ ནི་ 91
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ རྣམ་ 4472
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ ཀྱིས་ 56
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ ཡོངས་ 144
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ ཀྱང་ 411
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ མ་ 955
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ ཐོབ་ 549
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ ལས་ 58
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ རྗེས་ 49
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ ཅེས་ 67
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ ཉིད་ དོ 142
རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ པ་ སྟེ །_ 220
རྣམ་ པ་ ཐམས་ ཅད་ དུ་ རྣམ་ ཤེས་ མཐའ་ 43
རྣམ་ པ་ ཐམས་ ཅད་ དུ་ ནམ་ མཁའ་ མཐའ་ 44
རྣམ་ པ་ ཐམས་ ཅད་ དུ་ གཟུགས་ ཀྱི་ འདུ་ 46
རྣམ་ པ་ ཐམས་ ཅད་ ཀྱི་ ཐམས་ ཅད་ དུ་ 44
རྣམ་ པ་ ཐམས་ ཅད་ ཀྱི་ མཆོག་ དང་ ལྡན་ 127
རྣམ་ པ་ གཉིས་ སུ་ མྱི་ འགྱུར་ བ་ དེ་ 125
རྣམ་ པ་ དེ་ དག་ དང་ །_ ཚུལ་ དེ་ 62
རྣམ་ པ་ ཤེས་ པ་ ཉིད་ དང་ །_ རྣམ་ 62
རྣམ་ པ་ ཤེས་ པ་ ཉིད་ རྣམ་ པར་ དག་ 141
རྣམ་ པ་ ཤེས་ པ་ ཉིད་ ཡོངས་ སུ་ དག་ 51
རྣམ་ པ་ ཤེས་ ཏེ །_ དེ་ ལ་ མངོན་ 103
རྣམ་ པ་ གཞན་ དུ་ འགྱུར་ རོ །_། རབ་ 55
རྣམ་ པ་ བཞི་ པོ་ གསེར་ ལས་ བྱས་ པ་ 42
རྣམ་ པར་ ཐར་ པའི་ སྒོ་ གསུམ་ དང་ །_ 55
རྣམ་ པར་ ཐར་ པའི་ སྒོ་ སྟོང་ པ་ ཉིད་ 1517
རྣམ་ པར་ ཐར་ པ་ དང་ །_ མཐར་ གྱིས་ 141
རྣམ་ པར་ ཐར་ པ་ དང་ །_ ཏིང་ ངེ་ 162
རྣམ་ པར་ ཐར་ པ་ ནི །_ འགྲོ་ བ་ 47
རྣམ་ པར་ ཐར་ པ་ ནི །_ སེམས་ ཅན་ 74
རྣམ་ པར་ ཐར་ པ་ རྣམས་ དང་ །_ མཐར་ 49
རྣམ་ པར་ ཐར་ པ་ བརྒྱད་ དང་ །_ མཐར་ 337
རྣམ་ པར་ ཐར་ པ་ བརྒྱད་ ལ་ བསམ་ གཏན་ 73
རྣམ་ པར་ ཐར་ པ་ བརྒྱད་ རྣམ་ པར་ དག་ 58
རྣམ་ པར་ ཐར་ པ་ བསམ་ གྱིས་ མི་ ཁྱབ་ 48
རྣམ་ པར་ བམ་ པའི་ བསམ་ གཏན་ དག་ ལ་ 48
རྣམ་ པར་ འཇིག་ པའི་ ཆོས་ ཅན་ ཡིན་ པར་ 43
རྣམ་ པར་ འཇིག་ པ་ ནི་ ཤེས་ རབ་ ཀྱི་ 57
རྣམ་ པར་ འཇིག་ པ་ མ་ མཆིས་ པའི་ སླད་ 110
རྣམ་ པར་ འཇིག་ པ་ མ་ མཆིས་ པར་ བལྟའོ 109
རྣམ་ པར་ རྒྱལ་ བ་ མདོ་ སྡེའི་ རྒྱལ་ པོ་ 48
རྣམ་ པར་ དག་ པའི་ ཆོས་ སྟོན་ པར་ འགྱུར་ 117
རྣམ་ པར་ དག་ པའི་ གནས་ དེ་ ནི་ འདི་ 53
རྣམ་ པར་ དག་ པའི་ ཕྱིར་ ཏེ །_ བདག་ 103
རྣམ་ པར་ དག་ པའི་ ཕྱིར་ རྣམ་ པར་ དག་ 40
རྣམ་ པར་ དག་ པའི་ ཕྱིར་ རོ །_། གསོལ་ 344
རྣམ་ པར་ དག་ པའི་ ཕྱིར །_ རྣམ་ པར་ 238
རྣམ་ པར་ དག་ པའི་ ཡེ་ ཤེས་ ཀྱི་ སྟོབས་ 94
རྣམ་ པར་ དག་ པ་ དང་ །_ ཆོས་ རྣམ་ 75
རྣམ་ པར་ དག་ པ་ དང་ །_ སྒྲ་ རྣམ་ 74
རྣམ་ པར་ དག་ པ་ དང་ །_ སངས་ རྒྱས་ 42
རྣམ་ པར་ དག་ པ་ དང་ །_ ཚུལ་ ཁྲིམས་ 55
རྣམ་ པར་ དག་ པ་ དང་ །_ རྣམ་ པ་ 1972
རྣམ་ པར་ དག་ པ་ དང་ །_ རྣམ་ པར་ 140
རྣམ་ པར་ དག་ པ་ དང་ །_ བརྩོན་ འགྲུས་ 55
རྣམ་ པར་ དག་ པ་ དང་ །_ ཤེས་ རབ་ 63
རྣམ་ པར་ དག་ པ་ དང་ །_ བཟོད་ པའི་ 52
རྣམ་ པར་ དག་ པ་ དང་ །_ རེག་ རྣམ་ 75
རྣམ་ པར་ དག་ པ་ དང་ །_ ལུས་ ཀྱི་ 224
རྣམ་ པར་ དག་ པ་ དང་ །_ ལུས་ རྣམ་ 74
རྣམ་ པར་ དག་ པ་ དང་ །_ ཡིད་ ཀྱི་ 243
རྣམ་ པར་ དག་ པ་ དང་ །_ ཡིད་ རྣམ་ 79
རྣམ་ པར་ དག་ པ་ དང་ །_ རོ་ རྣམ་ 75
རྣམ་ པར་ དག་ པ་ དང་ །_ སྣ་ རྣམ་ 77
རྣམ་ པར་ དག་ པ་ དང་ །_ སྦྱིན་ པའི་ 54
རྣམ་ པར་ དག་ པ་ དང་ །_ རྣ་ བ་ 79
རྣམ་ པར་ དག་ པ་ དང་ །_ རྣ་ བའི་ 223
རྣམ་ པར་ དག་ པ་ དང་ །_ འདུ་ བྱེད་ 92
རྣམ་ པར་ དག་ པ་ དང་ །_ འདུ་ ཤེས་ 75
རྣམ་ པར་ དག་ པ་ དང་ །_ དྲི་ རྣམ་ 75
རྣམ་ པར་ དག་ པ་ དང་ །_ ལྕེ་ རྣམ་ 78
རྣམ་ པར་ དག་ པ་ དང་ །_ གཟུགས་ རྣམ་ 177
རྣམ་ པར་ དག་ པ་ དང་ །_ སྣའི་ རྣམ་ 75
རྣམ་ པར་ དག་ པ་ དང་ །_ སྣའི་ འདུས་ 149
རྣམ་ པར་ དག་ པ་ དང་ །_ ཚོར་ བ་ 92
རྣམ་ པར་ དག་ པ་ དང་ །_ བསམ་ གཏན་ 68
རྣམ་ པར་ དག་ པ་ དང་ །_ ལྕེའི་ རྣམ་ 73
རྣམ་ པར་ དག་ པ་ དང་ །_ ལྕེའི་ འདུས་ 149
རྣམ་ པར་ དག་ པ་ དང་ །_ མྱིག་ གི་ 215
རྣམ་ པར་ དག་ པ་ དང་ །_ མྱིག་ རྣམ་ 75
རྣམ་ པར་ དག་ པ་ ལ་ མཚན་ མའི་ གནས་ 118
རྣམ་ པར་ དག་ པ་ གང་ ཡིན་ པ་ དེ་ 2774
རྣམ་ པར་ དག་ པ་ འདི་ ལ་ གཉིས་ སུ་ 3850
རྣམ་ པར་ དག་ པ་ ཀུན་ ནས་ ཉོན་ མོངས་ 109
རྣམ་ པར་ དག་ པ་ སྟེ །_ དེ་ ལྟར་ 3867
རྣམ་ པར་ དག་ པ་ ཉེ་ བར་ བཟུང་ ན 61
རྣམ་ པར་ དག་ པ་ ལགས །_ བཅོམ་ ལྡན་ 239
རྣམ་ པར་ དག་ པ །_ ཆོས་ རྣམ་ པར་ 77
རྣམ་ པར་ དག་ པ །_ སྒྲ་ རྣམ་ པར་ 75
རྣམ་ པར་ དག་ པ །_ རྣམ་ པར་ ཤེས་ 111
རྣམ་ པར་ དག་ པ །_ རེག་ རྣམ་ པར་ 75
རྣམ་ པར་ དག་ པ །_ ལུས་ ཀྱི་ རྣམ་ 74
རྣམ་ པར་ དག་ པ །_ ལུས་ ཀྱི་ འདུས་ 149
རྣམ་ པར་ དག་ པ །_ ལུས་ རྣམ་ པར་ 75
རྣམ་ པར་ དག་ པ །_ ཡིད་ ཀྱི་ རྣམ་ 77
རྣམ་ པར་ དག་ པ །_ ཡིད་ ཀྱི་ འདུས་ 163
རྣམ་ པར་ དག་ པ །_ ཡིད་ རྣམ་ པར་ 77
རྣམ་ པར་ དག་ པ །_ རོ་ རྣམ་ པར་ 74
རྣམ་ པར་ དག་ པ །_ སྣ་ རྣམ་ པར་ 74
རྣམ་ པར་ དག་ པ །_ རྣ་ བ་ རྣམ་ 72
རྣམ་ པར་ དག་ པ །_ རྣ་ བའི་ རྣམ་ 75
རྣམ་ པར་ དག་ པ །_ རྣ་ བའི་ འདུས་ 150
རྣམ་ པར་ དག་ པ །_ འདུ་ བྱེད་ རྣམ་ 91
རྣམ་ པར་ དག་ པ །_ འདུ་ ཤེས་ རྣམ་ 74
རྣམ་ པར་ དག་ པ །_ དྲི་ རྣམ་ པར་ 75
རྣམ་ པར་ དག་ པ །_ ལྕེ་ རྣམ་ པར་ 75
རྣམ་ པར་ དག་ པ །_ གཟུགས་ རྣམ་ པར་ 168
རྣམ་ པར་ དག་ པ །_ སྣའི་ རྣམ་ པར་ 74
རྣམ་ པར་ དག་ པ །_ སྣའི་ འདུས་ ཏེ་ 150
རྣམ་ པར་ དག་ པ །_ ཚོར་ བ་ རྣམ་ 92
རྣམ་ པར་ དག་ པ །_ ལྕེའི་ རྣམ་ པར་ 75
རྣམ་ པར་ དག་ པ །_ ལྕེའི་ འདུས་ ཏེ་ 148
རྣམ་ པར་ དག་ པ །_ མྱིག་ གི་ རྣམ་ 73
རྣམ་ པར་ དག་ པ །_ མྱིག་ གི་ འདུས་ 143
རྣམ་ པར་ དག་ པ །_ མྱིག་ རྣམ་ པར་ 72
རྣམ་ པར་ དག་ པར་ འགྱུར་ ཞིང་ བྱང་ ཆུབ་ 46
རྣམ་ པར་ དག་ པའོ །_། བཅོམ་ ལྡན་ འདས་ 131
རྣམ་ པར་ དག་ པའོ །_། གསོལ་ པ །_ 99
རྣམ་ པར་ དག་ པས །_ ཆོས་ རྣམ་ པར་ 64
རྣམ་ པར་ དག་ པས །_ སྒྲ་ རྣམ་ པར་ 62
རྣམ་ པར་ དག་ པས །_ ཚུལ་ ཁྲིམས་ ཀྱི་ 47
རྣམ་ པར་ དག་ པས །_ རྣམ་ པ་ ཐམས་ 1949
རྣམ་ པར་ དག་ པས །_ རྣམ་ པར་ ཤེས་ 81
རྣམ་ པར་ དག་ པས །_ འདོད་ ཆགས་ རྣམ་ 105
རྣམ་ པར་ དག་ པས །_ བརྩོན་ འགྲུས་ ཀྱི་ 47
རྣམ་ པར་ དག་ པས །_ ཤེས་ རབ་ ཀྱི་ 49
རྣམ་ པར་ དག་ པས །_ བཟོད་ པའི་ ཕ་ 46
རྣམ་ པར་ དག་ པས །_ རེག་ རྣམ་ པར་ 64
རྣམ་ པར་ དག་ པས །_ ལུས་ ཀྱི་ རྣམ་ 66
